attore,film,anno
Hettienne Park,Year of the Fish,2007
Maribeth Monroe,Keeping Up With The Joneses,2016
Andrew Scott,Locke,2014
Martha Hyer,Some Came Running,1959
Hashem Akbari,Cool It,2010
Rene Ashershon,Henry V (The Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France),1946
Sarah Paulson,Down With Love,2003
Harmony Korine,Manglehorn,2015
Jon Favreau,Chef,2014
Patti D'Arbanville,The Main Event,1979
Amy Poehler,Hoodwinked Too! Hood vs Evil,2011
Colin Fox,Left Behind: The Movie,2001
James Brolin,Love Wedding Marriage,2011
Karen Black,"Drive, He Said",1971
Consuelo de Havilland,372 le Matin (Betty Blue) (37.2 Degrees in the Morning),1986
Christina Hendricks,Detachment,2012
Hanna Putnam,Nightmare Man,2006
Rihanna,Battleship,2012
Patrick Fugit,Almost Famous,2000
Sally Field,Stay Hungry,1976
Kristen Stewart,On the Road,2012
Denis Leary,Draft Day,2014
Jacob Tremblay,The Book of Henry,2017
Chris Sarandon,The Osterman Weekend,1983
Scott Grimes,Critters 2: The Main Course,1988
Ruby Rose,John Wick: Chapter 2,2017
Michael Ironside,Major Payne,1994
Hamid Farrokhnezhad,Fireworks Wednesday (Chaharshanbe-soori),2016
Shawn Dou,Dangerous Liaisons,2012
Jessica Marais,That Sugar Film,2015
Ward Bond,Johnny Guitar,1954
Gladys Hurlbut,"The Long, Long Trailer",1954
Jason A. Davis,The Last Of Robin Hood,2014
Cathy Moriarty,Analyze That,2002
Hill Harper,He Got Game,1998
Israel Broussard,Happy Death Day,2017
Jordi Molla,Inhale,2010
Paul McGann,B&B,2018
Sean Francis,Remember,2016
Lou Taylor Pucci,Horsemen,2009
Victor Stiles,Santa Claus Conquers the Martians,1964
Vladimir Golovin,My Joy,2011
Bonnie Bedelia,Die Hard,1988
Renato Salvatori,Burn!,1969
Gregor Seberg,Bride of the Wind,2001
Chiz Schultz,Birth Of The Living Dead,2013
Kathy Baker,Dad,1989
Kuei-Mei Yang,Vive l'Amour,1994
Tamlyn Tomita,Come See the Paradise,1990
Susan May Pratt,Open Water 2: Adrift,2007
Julianne Moore,Seventh Son,2015
Lindsay Pulsipher,The Rambler,2013
Daniel Auteuil,36 quai des orfevres,2005
Tim Herbert,Duel,1972
Peter Falk,A Woman Under the Influence,1975
John Stattery,The Situation,2006
Rudy Vallee,Unfaithfully Yours,1948
George Kennedy,Charade,1963
Colin Quinn,Comedian,2002
Fathi Salama,Youssou Ndour: I Bring What I Love,2009
Danny Lee,Xing xing wang (The Mighty Peking Man) (Colossus of Congo) (Goliathon),1978
James Coburn,Hell Is for Heroes,1962
Bubba Smith,Police Academy,1984
Brett Halsey,Twice Told Tales,1963
Darrell Britt-Gibson,Keanu,2016
John Carradine,The Return of Frank James,1940
Teddy Newton,The Incredibles,2004
Jeff Bridges,Rancho Deluxe,1975
Dominic Cooper,Dracula Untold,2014
William Hope,Aliens,1986
Matt Frewer,Hercules,1997
Ted Raimi,Murder of a Cat,2014
Cameron Diaz,The Invisible Circus,2001
Jan Budar,Empties (Vratn lahve),2007
Matthew Broderick,Max Dugan Returns,1983
James Ellison,I Walked With a Zombie,1943
Karen Steele,Ride Lonesome,1959
Dennis Chan,Kickboxer,1989
David Hayman,Finding Your Feet,2018
Annabella Sciorra,Romeo Is Bleeding,1993
Wu Yujuan,The Missing Gun,2003
Colin Moy,Emperor,2013
Lena Headey,300: Rise of an Empire,2014
Gary Janetti,Broadway Damage,1997
Antonio Neiwiller,Dear Diary (Caro diario),1994
Tom Green (III),Bling,2016
Kevin O'Connor,Special Effects,1984
Bradley Whitford,Masterminds,1997
Ed Stoppard,Brideshead Revisited,2008
Paul Soter,Beerfest,2006
Orson Welles,Magician: The Astonishing Life and Work of Orson Welles,2014
John Ehrlichman,Our Nixon,2013
Antonio Fargas,Cleopatra Jones,1973
Giovanni De Nava,The House By The Cemetery (Quella villa accanto al cimitero),1981
Sophia Loren,Man of La Mancha,1973
Bill Edwards,Hail the Conquering Hero,1944
Don Ameche,Things Change,1988
Willem Dafoe,Antichrist,2009
Michael Legge,Angela's Ashes,1999
Michael M. Foster,Upgrade,2018
Danny Glover,The Flight of the Intruder,1991
Brenda De Banzie,The Pink Panther,1963
Zahn McClarnon,Braven,2018
Mary McDonald Lewis,Intruder,2016
John Goodman,The Big Lebowski,1998
Geoff Bell,Mean Machine,2002
Piper Perabo,Coyote Ugly,2000
Bo Huang,Journey To The West,2014
Kieran Henthorn,My Name Is Bruce,2007
Robert De Niro,We're No Angels,1989
Pierre Richard,Lost in Paris (Paris pieds nus),2017
Luke Arnold,Broken Hill,2009
Marcia Jean Kurtz,Born to Win,1971
Milo Ventimiglia,Killing Season,2013
Perry Benson,Somers Town,2009
Rupert Everett,Finding Altamira (Altamira),2016
Humphrey Bogart,The Big Sleep,1946
Eleanor Parker,The Man With the Golden Arm,1955
Sam Neill,Until the End of the World (Bis ans Ende der Welt),1992
Jeff Goldblum,Tim and Eric's Billion Dollar Movie,2012
Wanda Sykes,Evan Almighty,2007
Daneal,October Country,2009
Alec Baldwin,Harry Benson: Shoot First,2016
Mekhi Phifer,High School High,1996
Edward Norton,Kingdom of Heaven,2005
Judd Omen,Howling II,1985
Dorothy McGuire,Swiss Family Robinson,1960
Hugh Jackman,Butter,2012
Ben Kingsley,Without a Clue,1988
Danny Rosen,Stranger Than Paradise,1984
Alice Eve,Misconduct,2016
Richard Bach,Jonathan Livingston Seagull,1973
Heather Alicia Simms,Broken Flowers,2005
Melanie Griffith,Cherry 2000,1988
John Doe,Roadside Prophets,1992
Tim Roth,Arbitrage,2012
Jean Rochefort,Mr. Bean's Holiday,2007
Robert Knepper,Hitman,2007
Sid Silvers,Broadway Melody of 1936,1935
Milhem Cortaz,Tropa de Elite (The Elite Squad),2007
Yasuyo Tanaka,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007
Natsuki Kato,Battle Royale II,2003
Geoffrey Keen,Born Free,1966
Eric Roberts,Moments of Clarity,2016
Richard McGregor,Crossworlds,1996
Helena Bonham Carter,Tim Burton's Corpse Bride,2005
Jack Magner,Amityville II: The Possession,1982
Timothy Hutton,Broken Hill,2009
Greg Kinnear,Bad News Bears,2005
Cinzia Monreale,The Beyond (...E tu vivrai nel terrore! L'aldil),1981
Ruth White,Hang 'em High,1968
Sandra Dee,A Summer Place,1959
Denis O'Hare,Novitiate,2017
Catherine Zeta-Jones,Death Defying Acts,2008
Sara Foster,The Big Bounce,2004
Cory McAbee,The American Astronaut,2001
Henry Fonda,On Golden Pond,1981
Annette Bening,American Beauty,1999
Jo Hartley,This Is England,2007
Chi McBride,Mercury Rising,1998
Myrna Loy,The Thin Man,1934
Evan Peters,Safelight,2015
David Simon,How To Make Money Selling Drugs,2013
Chiwetel Ejiofor,American Gangster,2007
Danny Trejo,Survivors Guide to Prison,2018
Christian Bale,Out of the Furnace,2013
Ben Johnson,Bite the Bullet,1975
Matt Letscher,The Mask of Zorro,1998
Ivan Brunetti,Shut Up Little Man!,2011
Greg Bryk,Shoot 'Em Up,2007
Leslie Mann,17 Again,2009
John Holyoke,Money Buys Happiness,1999
Nikolai Grinko,The Mirror,1975
Kevin Mitnick,"Lo and Behold, Reveries of the Connected World",2016
Lily Franky,"Like Father, Like Son",2014
Robert Dunham,Godzilla vs. Megalon,1973
Jordi Molla,There Be Dragons,2011
Christina Applegate,The Big Hit,1998
Josias Ricardo Merkin,Historias que so existem quando lembradas (Found Memories),2012
Quim Gutirrez,La Cara Oculta,2012
Francisco Rabal,Belle de Jour,1968
Rory Fleck-Byrne,The Foreigner,2017
Jack Kelly,Forbidden Planet,1956
Seo-woo Eun,Phone (Pon),2002
Tom Arnold,Pulling Strings,2013
Vera Farmiga,Nothing But the Truth,2008
Robert De Niro,Great Expectations,1998
Jack Kruschen,Lover Come Back,1961
Richard Kind,Tom and Jerry: The Movie,1992
Thurl Ravenscroft,The Brave Little Toaster Goes to Mars,1998
Jamie Harris,The Frontier,2016
Paul Schantz,The Last Gladiators,2013
La Seydoux,The Lobster,2016
Alec Baldwin,Running With Scissors,2006
Satya Lee,The L.A. Riot Spectacular,2005
Barbara Stanwyck,The Strange Love of Martha Ivers,1946
Barth Netterfield,BLAST!,2009
Christopher Martin,House Party 2,1991
Justin Kirk,Puccini for Beginners,2007
Emily Plumtree,Hollow,2012
Rick Lenz,Cactus Flower,1969
Sarah Greene (II),Noble,2015
Christopher Walken,A View to a Kill,1985
Fanny Ardant,Ha-Sodot (The Secrets),2007
James Woods,Any Given Sunday,1999
Jean-Baptiste Thirre,Muriel ou Le Temps d'un Retour (The Time of Return),1963
Ali Elayan,When I Saw You,2012
Joe Jonas,Camp Rock,2008
David Eigenberg,Sex and the City,2008
Emily Hampshire,The Trotsky,2010
Carey Mulligan,An Education,2009
Laura Betti,The Canterbury Tales,1971
Asafa Powell,I Am Bolt,2016
Astrid Allwyn,Mr. Smith Goes to Washington,1939
Joan Plowright,Dennis the Menace,1993
Jackie Chan,Police Story (Ging chaat goo si) (Police Force),1985
Ralph Brown,Straightheads (Closure),2007
Gene Kelly,Ziegfeld Follies,1946
Zoe Lister-Jones,Stuck Between Stations,2011
Judy Greer,The Go-Getter,2008
Brandon Lee,Showdown in Little Tokyo,1991
Michael Urie,The Decoy Bride,2012
Rosette,Pauline At The Beach,1983
Matt Foyer,The Call of Cthulhu,2005
Tom Courtenay,Gambit,2012
Regina King,The Ant Bully,2006
William Sadler,Bill & Ted's Bogus Journey,1991
Adam Brody,Mr. & Mrs. Smith,2005
Sandra Bernhard,Dare,2009
Edward Albert,When Time Ran Out,1980
Kaya Yanar,The Wild Life,2016
Maylin Pultar,In God's Hands,1998
Nicole LaLiberte,Girls Against Boys,2013
Nicholas Campbell,Backcountry,2015
Brian McCardie,Speed 2 - Cruise Control,1997
Constance Brenneman,Swing,2004
January Jones,Dirty Dancing: Havana Nights,2004
Pl Sverre Hagen,Ragnarok,2014
Rick Aviles,Ghost,1990
Mlanie Thierry,Babylon A.D.,2008
Meat Loaf,Leap of Faith,1992
Emile Hirsch,The Autopsy of Jane Doe,2016
Rhys Ifans,Christmas Carol - The Movie,2001
Suhasini Mulay,Lagaan: Once Upon a Time in India,2001
Patrick Fugit,Saved!,2004
Jeff Bridges,The Giver,2014
Jessica Lundy,RocketMan,1997
Philip Winchester,Thunderbirds,2004
Colm Meaney,The Englishman Who Went up a Hill But Came Down A Mountain,1995
Dan Seymour,Return of the Fly,1959
Joanna Lumley,Cold Comfort Farm,1996
"Christopher ""Play"" Martin",House Party 2,1991
Bill Hickey,Major Payne,1994
Gregory Peck,MacArthur,1977
Kate Dickie,For Those In Peril,2014
Justin Bickham,Lord Byron,2011
Megumi Hayashibara,Paprika,2006
Leonardo DiCaprio,Gangs of New York,2002
Stephen Bishop,Miss Meadows,2014
Carolien Spoor,Tricked (Steekspel),2016
Gary Entin,Rest Stop,2006
Randy Quaid,Goya's Ghosts,2007
Toby Jones,The Painted Veil,2006
Rachel Bilson,The To Do List,2013
Wei Zhao,Lost in Hong Kong,2015
Paolo Turco,The Lickerish Quartet,1970
Joel McHale,Ted,2012
Katrin Cartlidge,The Cherry Orchard,2000
Kathleen Hughes,It Came from Outer Space,1953
Michael Richards,UHF,1989
Gregory G. Giles,Never Say Macbeth,2007
James Franco,King Cobra,2016
Donnie Wahlberg,Southie,1998
Katherine Heigl,The Big Wedding,2013
Jimmy Kimmel,Manny,2015
Kennadie Smith,Ain't Them Bodies Saints,2013
Claire Foy,Unsane,2018
Cam Gigandet,Never Back Down,2008
Allen Bickford,"Ned Kelly (Ned Kelly, Outlaw)",1970
Helen Mirren,Where Angels Fear to Tread,1994
James Rebhorn,Meet the Parents,2000
Christine Lahti,Obsessed,2009
Jennie Jaques,Cherry Tree Lane,2010
John Cassavetes,Mikey and Nicky,1976
Richard Dysart,Pale Rider,1985
Lorie Griffin,Teen Wolf,1985
Timothy Bottoms,Uncle Sam,1997
Tom Cruise,The Mummy,2017
Edward Herrmann,Mrs. Soffel,1984
Bruno Ganz,Downfall (Der Untergang),2004
Robert De Niro,15 Minutes,2001
Eugenie Leontovich,Homicidal,1961
Jaden Smith,The Karate Kid,2010
Diego Boneta,The Titan,2018
James Westerfield,Wild River,1960
Andrea Langi,Shadow: Dead Riot,2005
Joe Anderson (VI),"Copying Beethoven, (Klang der Stille)",2006
Paul Giamatti,Sideways,2004
Jennifer Edwards,Sunset,1988
Jackie Chan,Kung Fu Panda,2008
Bill Nighy,Alex Rider: Operation Stormbreaker,2006
Ye Xinchun,China Heavyweight,2012
Halle Berry,Why Do Fools Fall In Love,1998
Noah Robbins,Cruise,2018
Jessica Biel,Powder Blue,2009
Chevy Chase,Caddyshack II,1988
Mary Stuart Masterson,Heaven's Prisoners,1996
Radha Mitchell,Evidence,2013
Sam Shepard,Baby Boom,1987
Tom Cullen,Desert Dancer,2015
Joaqun Cosio,"Bless Me, Ultima",2013
Ian Keith,It Came from Beneath the Sea,1955
Ed O'Neill,Wreck-it Ralph,2012
Bruce Solomon,Auto Focus,2002
Suzanne Zenor,The Baby,1973
Richard Dix,Cimarron,1931
Jason Burkey,October Baby,2012
Roberto Canessa,Stranded: I Have Come from a Plane That Crashed on the Mountains,2008
Luke Perry,The Beat Beneath My Feet,2016
Ronnie Orenna,Solitude,2002
Eddie Marsan,The Limehouse Golem,2017
Linda Fiorentino,Men in Black,1997
Embeth Davidtz,Junebug,2005
Tricia O'Kelley,Weather Girl,2009
Devin Druid,Imperium,2016
Noelle Parker,Ernest Saves Christmas,1988
Izabella Miko,Dark Streets,2008
Cynthia Watros,Mercy Streets,2000
Hal Linden,Time Changer,2002
Jodi Lyn O'Keefe,She's All That,1999
Ryan Glass,The Jeffrey Dahmer Files,2013
Carola Stagnaro,Opera,1987
Nicola Royston,Love N' Dancing,2008
Joey Walsh,Hans Christian Andersen,1952
Edward S. Brophy,Mad Love,1935
Cristbal Martnez,Daniel & Ana,2010
Brigitte Nielsen,Beverly Hills Cop II,1987
Nick Cassavetes,Assault of the Killer Bimbos,1987
AalbjoÌˆrg AÌrnadoÌttir,Rift (Rkkur),2017
Glen Hansard,Once,2007
Michelle Pfeiffer,The Russia House,1990
Mark Strong (II),The Siege of Jadotville,2016
Louis Garrel,Beloved,2012
Jack Thompson,Around The Block,2014
Frank Avianca,The Human Factor,1979
Harry Carey Jr.,Cherry 2000,1988
Guiseppe Rossetti,General della Rovere (Il generale Della Rovere),1959
Phyllis Calvert,Indiscreet,1958
Pete Postlethwaite,Romeo + Juliet,1996
Noble Johnson,King Kong,1933
Ye-Won Mun,Gonjiam: Haunted Asylum,2018
Linda Thorson,Curtains,1983
Amanda Peet,What Doesn't Kill You,2008
Luke Edwards,Little Big League,1994
David Roberts,Me Myself I,2000
Betsy Blair,Il Grido (The Cry),1957
Peyton List,Meeting Evil,2012
Andrew Rothenberg,Midnighters,2018
Jenna Dewan Tatum,10 Years,2012
Alexander Michaletos,Duma,2005
Jim Belushi,Salvador,1986
Wallace Shawn,My Favorite Martian,1999
Sarah Jessica Parker,Spinning Into Butter,2009
Catherine Bell,Bruce Almighty,2003
Stephanie Nogueras,Unfriended: Dark Web,2018
Marx Brothers,A Day at the Races,1937
Tom Skerritt,A River Runs Through It,1992
John Fiedler,A Raisin in the Sun,1961
Eric Tsang,Infernal Affairs II,2003
Ben Blue,For Me and My Gal,1942
Mark Warner,Patriocracy,2012
Peter Wingfield,Superbabies: Baby Geniuses 2,2004
Samuel L. Jackson,Django Unchained,2012
Michael Madsen,Kill Bill: Volume 1,2003
Chris Carmack,Shark Night 3D,2011
Barry Shabak-Henley,The Terminal,2004
Kiersten Warren,The Snow Walker,2003
Molly Parker,Max,2002
Michel Galabru,Keep Your Right Up (Soigne ta droite),2001
Martin Freeman,Cargo,2018
Jorge Lendeborg Jr.,Brigsby Bear,2017
John Rhys-Davies,Indiana Jones and the Last Crusade,1989
Vic Morrow,The Bad News Bears,1976
Merik Tadros,Crossing Over,2009
Nol Wells,Happy Anniversary,2018
Glenda Jackson,A Touch of Class,1973
Jason Williams,Flesh Gordon,1974
Carroll Spinney,Sesame Street Presents: Follow That Bird,1985
Brian Vincent,Black Dog,1998
Jeanne Moreau,Diary of a Chambermaid (Le journal d'une femme de chambre),1965
Dagmar Schindel-Hildebrand,Paper Clips,2004
Jim Caviezel,The Stoning of Soraya M.,2009
Julian West,Vampyr - Der Traum des Allan Grey,1932
Bill Clinton,Glen Campbell: I'll Be Me,2014
Josh Hamilton,Dark Skies,2013
Mirei Oguchi,Dark Water,2002
Drew Barrymore,Guncrazy,1992
George Gaynes,Vanya on 42nd Street,1995
Valrie Donzelli,Declaration of War,2012
Sage Allen,Suspended Animation,2003
Cara Buono,Paper Towns,2015
Edmond O'Brien,D.O.A.,1950
Christopher Hewett,The Producers,1968
Solomon Burke,Lightning in a Bottle,2004
Theresa Russell,Bad Timing,1980
Aaron Michael Davies,Another Gay Sequel: Gays Gone Wild!,2008
Clarke Peters,Endgame,2009
Deborah Kerr,The Life and Death of Colonel Blimp,1943
Robert Loggia,Tim and Eric's Billion Dollar Movie,2012
Ilan Griff,Hofshat Kaits (My Father My Lord),2008
Jimmy Carter,Jimmy Carter Man From Plains,2007
Paul Linke,Motel Hell,1980
James Coco,Only When I Laugh,1981
Cam Clarke,The Pirates Who Don't Do Anything: A VeggieTales Movie,2008
Jesper Christensen,The Interpreter,2005
Francis Sandoval,Historias mnimas (Intimate Stories),2005
Tom Hanks,Misery Loves Comedy,2014
Tobey Maguire,Spider-Man 3,2007
Beverly D'Angelo,Wakefield,2017
Naomie Harris,Southpaw,2015
Jim Brown,The Running Man,1987
Luca Franzoni,Dom Hemingway,2014
Jason Miller,Rudy,1993
Lee Marvin,The Wild One,1954
Paul Auster,The Look,2011
Ernest Borgnine,McHale's Navy,1997
Denis Leary,The Ref,1994
Robert Loggia,Scarface,1983
Robert Mann,Speak The Music: Robert Mann And The Mysteries Of Chamber Music,2014
Dianne Wiest,The Associate,1996
Drea de Matteo,Broken English,2007
Franois Morel,Footnotes (Sur quel pied danser),2017
Carmen Dell'Orefice,Bill Cunningham New York,2011
Gina Gershon,Love Ranch,2010
Akshay Kumar,Khatta Meetha,2010
Sung-min Lee,Kundo: Age of the Rampant,2014
Jean Desailly,La Peau douce (The Soft Skin),1964
Ted Atherton,River,2016
Geoffrey Lewis,The Haunted World of El Superbeasto,2009
Lachlan Buchanan,Muck,2015
Kevin Bacon,Flatliners,1990
Tara Killian,American Pie Presents: Band Camp,2005
Maureen Stapleton,Interiors,1978
Mazimpaka Kennedy,Kinyarwanda,2011
Adam Driver,Hungry Hearts,2015
Alison Moir,Johnny Suede,1991
Zhang Yang,Last Train Home,2010
Zo Kravitz,Beware the Gonzo,2011
Adolfo Jimnez Castro,Post Tenebras Lux,2013
Rade Serbedzija,The Quiet American,2003
Broderick Crawford,All the King's Men,1949
Marques Houston,Battlefield America,2012
Lorraine Bracco,Radio Flyer,1992
Carla Gugino,Race to Witch Mountain,2009
Kristin Booth,At First Light,2018
Joan Collins,The Bravados,1958
Olivia Williams,Rushmore,1998
Jim Morrison,When You're Strange,2010
Tom Carey,Badland,2007
Frank Langella,Youth in Oregon,2017
Regina King,Year of the Dog,2007
Danny Huston,Birth,2004
Zeljko Ivanek,A Civil Action,1998
Jackie Chan,Supercop,1996
Diego Luna,Dirty Dancing: Havana Nights,2004
Buddy Lewis,Big Stan,2009
Clarissa Lassig,A Home of Our Own,1993
Raymond Massey,The Scarlet Pimpernel,1935
Leo Britt,Dial M for Murder,1954
Michael Sonya,Surf Nazis Must Die,1987
Rashida Jones,Decoding Annie Parker,2014
Ian Nelson,Like Me,2018
Justin Long,The Lookalike,2014
Werner Herzog,Little Dieter Needs to Fly: Escape from Laos,1998
Craig Bierko,Equity,2016
Luis Guzman,Journey 2: The Mysterious Island,2012
Shmuel Rodensky,The Odessa File,1974
Mia Kirshner,30 Days Of Night: Dark Days,2010
John Cusack,Con Air,1997
Jeff Dunham,The Nut Job 2: Nutty by Nature,2017
Raphal Personnaz,The New Girlfriend,2015
Michael Disco,Journey to the Center of the Earth,2008
Michael Madsen,Free Willy 2: The Adventure Home,1995
Dana Gaiser,Stonewall Uprising,2010
Mira Sorvino,Free Money,1999
Peter O'Toole,Lord Jim,1965
Jon Cryer,Hit By Lightning,2014
Fiona Gordon (II),La fe (The Fairy),2012
Mel Brooks,High Anxiety,1977
Anna Camp,Forgetting The Girl,2013
Goldie Hawn,The Sugarland Express,1974
Amy Goodman,One Bright Shining Moment: The Forgotten Summer of George McGovern,2005
Georgina Rylance,Hellraiser: Deader,2005
David Niven,The Pink Panther,1963
Candy Lo Hau-Yam,Time and Tide (Shun liu Ni liu),2001
Jason Lee,Heartbreakers,2001
Sam Shepard,Blackthorn,2011
Rick Hoffman,The Condemned,2007
Strother Martin,Butch Cassidy and the Sundance Kid,1969
Jaime Camil,Pulling Strings,2013
Clint Eastwood,Where Eagles Dare,1969
Kareena Kapoor,Gori Tere Pyaar Mein,2013
Gregg Henry,Slither,2006
Friedrich Feher,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),1920
Tim Meadows,The Ladies Man,2000
Jodie Whittaker,Good,2008
Blythe Danner,The Lightkeepers,2010
Gina Varela,The Devil's Rock,2012
Charlize Theron,Monster,2004
Matthew Brown,Mutant Aliens,2001
Vince Vaughn,Thumbsucker,2005
Roy Billing,Siam Sunset,2003
Stewart Scudamore,Risen,2016
Jean Hagen,Adam's Rib,1949
Rodrigo dos Santos,Cidade dos Homens (City of Men),2007
John Boyega,Star Wars: The Last Jedi,2017
Annette Bening,Open Range,2003
Mark Margolis,Nasty Baby,2015
Amy Winehouse,Amy,2015
Mireille Enos,Devil's Knot,2014
Denzel Washington,Ricochet,1991
Joan O'Brien,It Happened at the World's Fair,1963
Areil Welch,The Big Green,1995
Mike Malone,Schizopolis,1996
Cheri Oteri,Love & Sex,2000
Nicolas Cage,City of Angels,1998
Steven Bauer,Thief Of Hearts,1984
Matt O'Leary,Bokeh,2017
Ernst-Hugo Jregrd,Slingshot,1993
Matthew Broderick,Deck the Halls,2006
Abbey Lee,The Dark Tower,2017
Olan Soule,Fantastic Planet,1973
Robert Redford,Dying To Know: Ram Dass & Timothy Leary,2014
Kai Greene,Generation Iron,2013
Timothy Olyphant,Hitman,2007
Stephin Merritt,Strange Powers: Stephin Merritt And The Magnetic Fields,2010
Paddy Considine,Stoned,2005
Josh Brener,Max Steel,2016
Jeremy Piven,I Melt with You,2011
Josh Lucas,Big Sur,2013
Carrie-Anne Moss,The Bye Bye Man,2017
Robert F. Lyons,Dark Night of the Scarecrow,1981
Jerry Reed,Gator,1976
Luke Evans,Tamara Drewe,2010
Vince Colosimo,Opal Dream,2006
Tracie Thoms,McCanick,2014
Simone Colling,Klown Forever (Klovn Forever),2016
Chuck Norris,Top Dog,1994
Patti LuPone,Union Square,2012
Bill Nighy,Underworld,2003
Alyssa Milano,Commando,1985
